cve_id,status,repo_url,issues,commits_sha,commits_sha_begin,std_version,edition,备注
CVE-2021-45684,未开始,https://github.com/sunrise-choir/flumedb-rs,https://github.com/sunrise-choir/flumedb-rs/issues/10,1b643df85ca4a56f7d96105a9eb35e1b917ee488,,,,
CVE-2021-45685,未开始,https://github.com/frankmcsherry/columnar,https://github.com/frankmcsherry/columnar/issues/6,,,,,
CVE-2021-45688,未开始,https://github.com/ash-rs/ash,"https://github.com/ash-rs/ash/issues/354, https://github.com/MaikKlein/ash/issues/354",2c98b6f384a017de031698bd623551a45f24c8f9,,,,
CVE-2021-45689,未开始,https://github.com/gfx-rs/gfx,https://github.com/gfx-rs/gfx/issues/3567,,,,,
CVE-2021-45690,未开始,https://github.com/otake84/messagepack-rs,https://github.com/otake84/messagepack-rs/issues/2,,,,,
CVE-2021-45691,未开始,https://github.com/otake84/messagepack-rs,https://github.com/otake84/messagepack-rs/issues/2,,,,,
CVE-2021-45692,未开始,https://github.com/otake84/messagepack-rs,https://github.com/otake84/messagepack-rs/issues/2,,,,,
CVE-2021-45693,未开始,https://github.com/otake84/messagepack-rs,https://github.com/otake84/messagepack-rs/issues/2,,,,,
CVE-2021-45694,未开始,https://github.com/dyule/rdiff,https://github.com/dyule/rdiff/issues/3,,,,,
CVE-2021-45703,未开始,https://github.com/tectonic-typesetting/tectonic,https://github.com/tectonic-typesetting/tectonic/issues/752,cdff034e6d93cdfdafd13d8c6956e22fa5a57b79,,,,
CVE-2021-45704,未开始,https://github.com/metrics-rs/metrics,https://github.com/metrics-rs/metrics/issues/190,8e6daab,,,,
CVE-2021-45707,未开始,https://github.com/nix-rust/nix,https://github.com/nix-rust/nix/issues/1541,,,,,
CVE-2021-45709,未开始,https://github.com/shadowsocks/crypto2,https://github.com/shadowsocks/crypto2/issues/27,,,,,
CVE-2021-45713,未开始,https://github.com/rusqlite/rusqlite,https://github.com/rusqlite/rusqlite/issues/1048,30f8c8c502675011603c4d066396bf317fd49e71,,,,
